Contract Number,Vendor Number,Vendor Name,Amount,Description,System Release,Lead Department,Start Date,End Date,Category,Commodity Category
1590-14861,,PICTOMETRY,224437.50,2016-2018  OBLIQUE AERIAL IMAGERY MISSION,01/27/2017,1545.GEOGRAPHICAL INFO SYSTEM - GIS,02/01/2017,01/31/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1590-14861.pdf),
1625-15353R,,"KASC, INC.",845141.92,TELECOM MATERIALS,01/27/2017,1009.ENTERPRISE TECHNOLOGY,02/01/2017,01/31/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1625-15353R.pdf),
1635-15553R,783393,ENTERPRISE LEASING CO,100657.60,RENTAL OF ELECTION VEHICLES,01/27/2017,1524.COUNTY CLERK ELECTION DIV.FUND,02/01/2017,07/31/2018,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1635-15553R.pdf),
1635-15665,833021,"INDI ENTERPRISE, INC.",15489.79,NITROGEN OXIDE MONITORS,01/27/2017,1161.DEPT OF ENVIROMENTAL CTRL,02/01/2017,01/31/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1635-15665.pdf),
1645-15346R,766778,PRODUCTION DISTRIBUTION COMPANIES,533516.00,FILTER SUPPLIES REBID,01/27/2017,1200.DEPT. OF FACILITIES/MGMT,02/01/2017,01/31/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15346R.pdf),
1645-15577,,"MARCO SUPPLY COMPANY, INC. DBA JOHNSON PIPE AND SUPPLY CORPORATION",798477.00,PLUMBING SUPPLIES REBID,01/27/2017,1200.DEPT. OF FACILITIES/MGMT,02/01/2017,01/31/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15577.pdf),
1645-15613,20008311,"MIDWEST GROUP DISTRIBUTION AND SERVICES, INC. D/B/A EWERT, INC.",67500.00,MEDECO CATALOG SUPPLIES,01/27/2017,1200.DEPT. OF FACILITIES/MGMT,01/25/2017,01/24/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15613.pdf),
1645-15727,,"MIDWAY MOVING AND STORAGE, INC.",9017.00,BULK MIXED PAPER COLLECTION & RECYCLING SERVICES,01/27/2017,1200.DEPT. OF FACILITIES/MGMT,02/01/2017,01/31/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15727.pdf),
11-84-036,920469,HEARTLAND ALLIANCE/MAID,1487360.00,SHELTER CARE SERVICES,01/27/2017,1326.JUVENILE PROBATION,02/01/2017,01/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/11-84-036-A2.pdf),
12-18-104,831072,"JP MORGAN CHASE BANK, N.A.",3018884.00,LOCK BOX AND BRANCH COLLECTION SERVICES,01/27/2017,COUNTYWIDE,02/01/2017,01/31/2019,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-18-104-A3.pdf),
1645-15338,765547,COM-TEC SECURITY LLC,60000.00,"ON SITE SERVICE, MAINTENANCE AND REPAIR OF ELECTRONIC SECURITY CONTROL SYSTEMS",02/06/2017,1200.DEPT. OF FACILITIES/MGMT,02/15/2017,02/14/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15338.pdf),
1611-15566,,TABB TEXTILE CO. INC.,303493.50,LINENS,02/06/2017,1239.DEPARTMENT OF CORRECTIONS,01/01/2017,12/31/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1611-15566.pdf),
12-90-090,76915,LEVI RAY & SHOUP INC,19589.00,VMCF SOFTWARE MAINTENANCE AND SUPPORT,02/06/2017,1528.CIRCUIT COURT AUTOMATION FUND,07/01/2016,06/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-90-090-A2.pdf),
1484-14136A,833723,MONTENEGRO PAPER,0.00,COUNTYWIDE PAPER,02/06/2017,COUNTYWIDE,02/01/2017,01/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1484-14136A-A1.pdf),
1618-15625,835254,RUNBECK ELECTION SERVICES INC,94500.00,SOFTWARE SUPPORT & MAINTENANCE FOR BALLOT SORTING SYSTEM,02/06/2017,1524.COUNTY CLERK ELECTION DIV.FUND,02/01/2017,01/31/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1618-15625.pdf),
11-45-048B,838057,"SENTINEL OFFENDER SERVICES, INC",1136505.00,ELECTRONIC MONITORING SERVICES,02/07/2017,1326.JUVENILE PROBATION,03/01/2017,02/28/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/11-45-048B-A3.pdf),
1445-14077,75986,INTER CITY SUPPLY CO INC,149000.00,JANITORIAL SUPPLIES,02/07/2017,1200.DEPT. OF FACILITIES/MGMT,12/01/2016,02/28/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1445-14077-A2.pdf),
1455-13418,1102975,CAREMARKPCS HEALTH LLC,0.00,PHARMACY BENEFITS MANAGEMENT SERVICES JOINT PROCUREMENT,02/07/2017,1008.RISK MANAGEMENT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1455-13418-A1.pdf),
1611-15731,781379,WEX BANK,14250000.00,FLEET FUEL CARD SERVICE,02/09/2017,1499.FIXED CHRGS & SPECL PURP APPR,01/01/2017,12/31/2019,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1611-15731.pdf),
1485-13361,740972,SYSTEM INNOVATORS INC,4127.70,CASHIERING SYSTEM MAINT.,02/15/2017,1230.COURT SERVICES DIVISION,06/01/2017,06/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1485-13361-A1.pdf),
1635-15449,1113733,"LODOX NA, LLC",443000.00,X-RAY FOR FORENSICS,02/15/2017,1259.MEDICAL EXAMINER,02/01/2017,01/31/2019,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1635-15449.pdf),
1635-15665,833021,"INDI ENTERPRISE, INC.",15489.79,NITROGEN OXIDE MONITORS,02/15/2017,1161.DEPT OF ENVIROMENTAL CTRL,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1635-15665-A1.pdf),
1628-15809,,"MORTON SALT, INC.",4507800.00,FURNISH AND DELIVER BULK ROCK SALT,02/15/2017,1500.COUNTY HIGHWAY DEPARTMENT,02/15/2017,02/14/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1628-15809.pdf),
12-53-436,79994,H O H CHEMICALS INC,65000.00,WATER TREATMENT CHEMICALS,02/16/2017,1200.DEPT. OF FACILITIES/MGMT,03/20/2017,03/19/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-53-436-A2.pdf),
1635-15597,812270,ATLAS & ASSOCIATES,84000.00,FORKLIFTS,02/16/2017,1335.CLERK OF CRCT CRT OFF.OF CLERK,02/14/2017,02/13/2019,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1635-15597.pdf),
1618-15849,466181,"NATIONAL MEDICAL SERVICES, INC.",1611880.00,FORENSIC TOXICOLOGICAL TESTING SERVICES,02/21/2017,1259.MEDICAL EXAMINER,02/20/2017,02/19/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1618-15849.pdf),
1355-12834,832783,PATH CONSTRUCTION COMPANY,275.93,"KEDZIE AVENUE BRIDGE REPAIR - 142ND PL TO 139TH ST
SECTION # 12-W4612-06-BR",02/21/2017,1500.COUNTY HIGHWAY DEPARTMENT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1355-12834-A4.pdf),
1423-13630A,462146,ARROW ROAD CONSTRUCTION CO INC,100000.00,BITUMINOUS MATERIALS,02/21/2017,1500.COUNTY HIGHWAY DEPARTMENT,01/16/2017,01/15/2019,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1423-13630A-A1.pdf),
1423-13630B,94561,GALLAGHER MATERIALS CORP,100000.00,BITUMINOUS MATERIALS,02/21/2017,1500.COUNTY HIGHWAY DEPARTMENT,01/16/2017,01/15/2019,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1423-13630B-A1.pdf),
1455-14274,75169,BROADWAY ELECTRIC,148614.00,COUNTYWIDE FIRE & LIFE SAFETY - PACKAGE 9,02/21/2017,P&D Community Dev Blk (CDBG-R) - 750,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1455-14274-A1.pdf),
1523-14815,844233,K-FIVE CONSTR. CORP C/O COUNTRYSIDE BANK,16674.20,PAVEMENT PRESERVATION - SOUTH,02/21/2017,1500.COUNTY HIGHWAY DEPARTMENT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1523-14815-A3.pdf),
1611-15698,,"ENTERPRISE FLEET MANAGEMENT, INC.",241661.88,VEHICLE LEASING,02/22/2017,SHE Child Support Enforcement - 781,01/26/2017,01/25/2020,Amendment (http://opendocs.cookcountyil.gov/procurement/contracts/1611-15698.pdf),
1690-15641,82518,MUNICIPAL CODE CORPORATION,40500.00,WEB HOSTING AND SUPP. SERV.,02/23/2017,1018.OFFICE OF THE COUNTY COMMISSIONER,02/01/2017,01/31/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1690-15641.pdf),
1441-13351,740972,SYSTEM INNOVATORS INC,14088.43,ANNUAL MAINTENANCE,02/23/2017,1007.REVENUE,01/01/2017,06/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1441-13351-A1.pdf),
1623-15712,849065,WRIGHT AUTOMOTIVE INC.,297674.00,FORD FUSION HYBRID VEHICLES,02/24/2017,1577.VEHICLE PURCHASE FUND,12/21/2016,12/20/2018,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1623-15712.pdf),
1645-15730,76664,RAE PRODUCTS AND CHEMICALS CORPORATION,236645.00,PAINT SUPPLIES,02/24/2017,1200.DEPT. OF FACILITIES/MGMT,03/01/2017,02/28/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15730.pdf),
1488-14183,,VARIOUS,,TARGET MARKET VARIOUS IT SERVICES,02/28/2017,COUNTYWIDE,07/15/2016,02/14/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1488-14183.pdf),
1488-14270,,VARIOUS,,NON-TARGET MARKET VARIOUS IT SERVICES,02/28/2017,COUNTYWIDE,07/15/2016,02/14/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1488-14270.pdf),
1318-12726,755064,"PRO-WEST & ASSOCIATES, INC.",97435.52,BUILDING PERMIT TRACKING APPLICATION - STAGE II,03/01/2017,1545.GEOGRAPHICAL INFO SYSTEM - GIS,03/01/2017,02/28/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1318-12726-A4.pdf),
1445-13595,75873,STAR DETECTIVE & SECURITY AGENCY,82342.00,UNARMED SECURITY,03/01/2017,1200.DEPT. OF FACILITIES/MGMT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1445-13595-A5.pdf),
1390-13098,760037,THE CHICAGO BAR FOUNDATION,69419.00,GUARDIANSHIP ASSISTANCE HELP DESK FOR MINORS,03/07/2017,1310.OFFICE OF THE CHIEF JUDGE,05/01/2017,04/30/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1390-13098-A2.pdf),
1390-12899,818530,"ORACLE AMERICA, INC.",0.00,ENTERPRISE RESOURCE PLANNING (ERP) SOFTWARE,03/08/2017,Countywide - 001,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1390-12899-A2.pdf),
1584-15103,851194,MORGAN CREMATION SER.,100000.00,TRANSPORTATION AND CREMATION,03/08/2017,1259.MEDICAL EXAMINER,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1584-15103-A1.pdf),
12-18-416,803896,"REALAUCTION.COM, LLC",462000.00,ON-LINE AUCTION SERVICES FOR DELINQUENT TAX LIENS,03/13/2017,1534.TREASURER TAX SALES AUTOMATION,04/01/2017,03/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-18-416-A2.pdf),
13-53-054,768964,"WESTERN REMAC, INC.",427590.00,SIGN PANEL ASSEMBLY AND MAINTENANCE,03/13/2017,1500.COUNTY HIGHWAY DEPARTMENT,11/14/2016,11/13/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/13-53-054-A2.pdf),
1311-12721,,"WESTCARE ILLINOIS, INC",0.00,CONTINUUM OF CARE SUBSTANCE ABUSE AND MENTAL HEALTH TREATMENT PROGRAM,03/14/2017,1239.DEPARTMENT OF CORRECTIONS,01/01/2017,12/31/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1311-12721-A1.pdf),
1484-14136B,,BEBON OFFICE MACHINES CO.,20000.00,COUNTYWIDE PAPER,03/14/2017,1011.OFFICE OF CHIEF ADMIN OFFICER,02/01/2017,01/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1484-14136B-A1.pdf),
1753-16346,853514,BLACK DOG CHICAGO CORP,103759.82,FROZEN FOODS,03/15/2017,1440.JUVENILE TEMPORARY DETNT.CNTR,03/15/2017,06/14/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1753-16346.pdf),
1490-13306,,JUSTICE BENEFITS INC,0.00,TITLE IV-E PLANNING AND CLAIMING IMPLEMENTATION SERVICES,03/15/2017,1326.JUVENILE PROBATION,04/01/2017,03/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1490-13306-A1.pdf),
1626-15456,93402,"CHICAGO UNITED INDUSTRIES, LTD.",8797.90,CARDINAL BENCH SCALES,03/20/2017,1259.MEDICAL EXAMINER,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1626-15456.pdf),
1626-15833,,"COMFORTS OF HOME SERVICES, INC.",18842.00,TWO STATION PORTABLE RESTROOM,03/20/2017,1231.POLICE DEPARTMENT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1626-15833.pdf),
1626-15850,1112710,CORNERSTONE DETENTION PRODUCTS,2687.50,ACORN MIRRORS,03/20/2017,1200.DEPT. OF FACILITIES/MGMT,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1626-15850.pdf),
1728-16325,1106502,MQ SEWER AND WATER CONTRACTORS D/B/A MQ CONSTRUCTION CO.,70990.00,"SEWER REPAIRS AT 901 E. 26TH STREET, LAGRANGE PARK",03/20/2017,1200.DEPT. OF FACILITIES/MGMT,02/06/2017,03/10/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1728-16325.pdf),
1318-12620,,"ROLF JENSEN & ASSOCIATES, INC.",0.00,CW FIRE & LIFE SAFETY SYSTEMS UPGRADES - PACKAGE 10,03/20/2017,P&D Community Dev Blk (CDBG-R) - 750,10/01/2016,09/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1318-12620-A1.pdf),
1545-14909R,1101015,R & R EQUIPMENT PLUS INC,290000.00,"SERVICE, MAINTENANCE AND REPAI",03/21/2017,1200.DEPT. OF FACILITIES/MGMT,03/15/2017,03/14/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1545-14909R.pdf),
1645-15816,76101,"GABE'S INSTALLATION SERVICE, INC.",840000.00,CARPETING FLOOR TILE,03/21/2017,1200.DEPT. OF FACILITIES/MGMT,03/20/2017,03/19/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15816.pdf),
1684-15593,897193,"VALDES, LLC",1522125.13,"PAPER TOWELS, TOILET TISSUE",03/21/2017,1200.DEPT. OF FACILITIES/MGMT,04/07/2017,04/06/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1684-15593.pdf),
1611-15825,844361,CHICAGO PARTS AND SOUNDS LLC,20813.14,AFTERMARKET VEHICLE CONSOLES,03/22/2017,1499.FIXED CHRGS & SPECL PURP APPR,03/20/2017,03/19/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1611-15825.pdf),
11-45-048A,,3M ELECTRONIC MONITORING INC,4103079.33,ELECTRONIC MONITORING SERVICES - RF TECHNOLOGY,03/22/2017,1239.DEPARTMENT OF CORRECTIONS,03/01/2017,02/28/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/11-45-048A-A3.pdf),
1635-15467,467768,BORNQUIST  INC,120000.00,REPAIR MARLING COOLING TOWER,03/28/2017,1200.DEPT. OF FACILITIES/MGMT,03/13/2017,03/12/2020,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1635-15467.pdf),
1655-15887,726280,PLOTE CONSTRUCTION INC,2199610.65,GROUP 1 - 2016 PAVEMENT PRESERVATION REHAB PROGRAM - NORTH 2016,03/28/2017,1500.COUNTY HIGHWAY DEPARTMENT,03/29/2017,11/04/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1655-15887.pdf),
1684-15656,819862,GENUINE PARTS COMPANY DBA NAPA,2610000.00,VEHICLE & EQUIPMENT PARTS,03/28/2017,1501.MFT ILLINOIS FIRST (IST),04/01/2017,03/31/2018,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1684-15656.pdf),
1753-15950,741547,APNA GHAR INC,33921.00,FAMILY COURT ENHANCEMENT PROJECT - SUPERVISED VISITATION COURT LIAISON,03/28/2017,1310.OFFICE OF THE CHIEF JUDGE,03/01/2017,02/28/2018,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1753-15950.pdf),
08-45-256,804025,SECURUS TECHNOLOGIES INC,0.00,COINLESS INMATE PAYPHONES,03/28/2017,1009.ENTERPRISE TECHNOLOGY,03/16/2017,03/15/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/08-45-256-A7.pdf),
11-28-043,,"THE GORDIAN GROUP, INC.",0.00,"JOB ORDER CONTRACT (JOC) CONSULTANT - TO DEVELOP, IMPLEMENT AND SUPPORT THE JOC PROGRAM",03/28/2017,Capital Planning and Policy - 031,05/01/2017,04/30/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/11-28-043-A4.pdf),
12-30-185,,GENUINE AUTO PARTS DBA NAPA,875000.00,VEHICLE & EQUIPMENT PARTS MANAGEMENT AND SUPPLY SERVICES,03/28/2017,1577.VEHICLE PURCHASE FUND,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-30-185-A10.pdf),
1390-12899,,"ORACLE AMERICA, INC.",990338.40,ENTERPRISE RESOURCE PLANNING (ERP) SOFTWARE,03/28/2017,1032.DEPARTMENT OF HUMAN RESOURCES,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1390-12899-A3.pdf),
1390-12899,,"ORACLE AMERICA, INC.",4560563.00,ENTERPRISE RESOURCE PLANNING (ERP) SOFTWARE,03/28/2017,1009.ENTERPRISE TECHNOLOGY,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1390-12899-A4.pdf),
1653-15838,,B2B SUPPLIES USA DBA PRINTING SUPPLIES USA,307746.00,REFURBISHED TONER CARTRIDGES,03/29/2017,1009.ENTERPRISE TECHNOLOGY,04/01/2017,03/31/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1653-15838.pdf),
1645-15174R,,"TEMP TECH INDUSTRIES, INC.",523556.00,GLASS SUPPLIES REBID,03/31/2017,1200.DEPT. OF FACILITIES/MGMT,04/01/2017,03/31/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15174R.pdf),
11-88-061,,"ENSONO, LP",1200000.00,MAINFRAME INTEGRATION (REF CITY OF CHICAGO CONTRACT #22482),03/31/2017,1009.ENTERPRISE TECHNOLOGY,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/11-88-061-A1.pdf),
1755-16494,,IMPERIAL CRANE,12185.00,CRANE & OPERATOR TO LIFT EMR OFF OF TRANSFORMER,04/03/2017,1200.DEPT. OF FACILITIES/MGMT,03/28/2017,04/30/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1755-16494.pdf),
12-88-102,,AZAVAR AUDIT SOLUTIONS,0.00,PROFESSIONAL UTILITY AUDITOR SERVICES,04/04/2017,1011.OFFICE OF CHIEF ADMIN OFFICER,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-88-102-A2.pdf),
1753-16505,60640,CRISTINA FOODS INC.,26858.00,PRODUCE PRODUCTS,04/05/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,04/05/2017,05/04/2017,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1753-16505.pdf),
1760-16508,729290,"PERKINELMER, INC.",7668.00,TOXICOLOGY EQUIPMENT,04/07/2017,1259.MEDICAL EXAMINER,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1760-16508.pdf),
10-41-35,,AT&T,0.00,TELEPHONE MSA,04/11/2017,1009.ENTERPRISE TECHNOLOGY,03/15/2017,03/15/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/10-41-35-A2.pdf),
1626-15680,469751,ATLAS & ASSOCIATES,5500.00,FILEPRINT 470 TONER,04/12/2017,1529.CIRCUIT CRT. DOC. STORAGE FUND,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1626-15680.pdf),
1725-16516,853514,BLACK DOG CHICAGO CORP,68182.83,DRY & CANNED GOODS,04/12/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,,,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1725-16516.pdf),
1323-12649,,TASC INC,0.00,DRUG COURT TESTING,04/14/2017,1326.JUVENILE PROBATION,05/01/2017,04/30/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1323-12649-A1.pdf),
13-23-061,,"HEY & ASSSOCIATES, INC.",300000.00,HYDRAULIC ENGINEERING AND SURVEYING SERVICES,04/18/2017,1500.COUNTY HIGHWAY DEPARTMENT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/13-23-061-A2.pdf),
1585-14653,,TASC INC,13500.00,MISDEMEANOR DEFERRED PROSECUTION GRANT PROGRAM,04/18/2017,SA Prosecutor Based Victim Ast - 638,10/01/2016,10/14/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1585-14653-A1.pdf),
1590-14365A,83266,"SENTINEL TECHNOLOGIES, INC.",24557634.93,UNIFIED COMMUNICATIONS,04/19/2017,1009.ENTERPRISE TECHNOLOGY,04/01/2017,03/31/2022,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1590-14365A.pdf),
1645-15610,76501,ROOT BROTHERS MANUFACTURING AND SUPPLY,252830.00,STANLEY BEST ACCESS CATALOG,04/19/2017,1200.DEPT. OF FACILITIES/MGMT,05/01/2017,04/30/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15610.pdf),
1645-15846,808711,TILES IN STYLE LLC/ TAZA SUPPLIES,609661.00,REBID FLOOR TILE SUPPLIES,04/19/2017,1200.DEPT. OF FACILITIES/MGMT,05/01/2017,04/30/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15846.pdf),
1388-12930,,PATH CONSTRUCTION COMPANY,13753.46,GROUP 3 BRIDGE IMPROVEMENT & REPAIR (4 BRIDGES - CAL SAG CHANNEL).,04/19/2017,1500.COUNTY HIGHWAY DEPARTMENT,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1388-12930-A2.pdf),
1481-13509,,LABORATORY CORP OF AMERICAN/LABCORP,49000.00,POST MORTEM SAMPLES,04/19/2017,1259.MEDICAL EXAMINER,10/15/2016,10/14/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1481-13509-a1.pdf),
12-23-241,78906,LEXISNEXIS,1254000.00,ONLINE LEGAL RESEARCH SERVICES,04/20/2017,1040.COUNTY ASSESSOR,04/01/2017,03/31/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-23-241-A5.pdf),
12-84-210,,TRADEMARK PRODUCTS INC,25000.00,"MAINTENANCE AND REPAIR, ELECTRIC SEALERS AND ELECTRIC TIME STAMP",04/20/2017,1335.CLERK OF CRCT CRT OFF.OF CLERK,,,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/12-84-210-A4.pdf),
13-90-048C,,"BROTHERS & THOMPSON, P.C.",0.00,COUNTY-WIDE LEGAL SERVICES,04/20/2017,1032.DEPARTMENT OF HUMAN RESOURCES,05/01/2017,04/30/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/13-90-048C-A3.pdf),
1514-14655,,BOMGAR CORPORATION,19499.00,"BOMGAR VIRTUAL APPLIANCE, LICENSE, METRICS, INSTALLATION AND CONFIGURATION SERVICE, TRAINING, AND MAINTENANCE",04/20/2017,1009.ENTERPRISE TECHNOLOGY,12/31/2016,12/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1514-14655-A1.pdf),
1590-14357,,TYLER TECHNOLOGY,36449035.00,ELECTRONIC CASE MANAGEMENT AND COURT DOCKET SYSTEM,04/21/2017,1335.CLERK OF CRCT CRT OFF.OF CLERK,04/09/2017,04/08/2021,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1590-14357.pdf),
1635-15845,93402,"CHICAGO UNITED INDUSTRIES, LTD.",61040.30,MEDICAL GRADE GASES,04/21/2017,1259.MEDICAL EXAMINER,04/24/2017,04/23/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1635-15845.pdf),
1645-15735,79503,JOHNSON PIPE AND SUPPLY COMPANY INC.,1167485.31,STEAMFITTER SUPPLIES,04/21/2017,1200.DEPT. OF FACILITIES/MGMT,05/01/2017,04/30/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1645-15735.pdf),
1430-14111,,"CATALYST CONSULTING GROUP, INC.",0.00,GENERAL BUSINESS LICENSE PHASE II,04/21/2017,1009.ENTERPRISE TECHNOLOGY,02/10/2017,02/09/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1430-14111-A1.pdf),
1684-14541,,"DUDASIK, MICHAEL W",0.00,CONSULTING SERVICES,04/21/2017,1040.COUNTY ASSESSOR,12/01/2016,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1684-14541-A1.pdf),
1625-15681,853514,BLACK DOG CHICAGO CORPORATION,3854203.34,DRY AND CANNED GOODS,04/24/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,05/01/2017,04/30/2019,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1625-15681.pdf),
1653-15725,854694,"BIENKO, DIANA",41600.00,PROFESSIONAL SERVICES - PARALEGAL SERVICES,04/24/2017,1260.PUBLIC DEFENDER,04/14/2017,04/13/2018,New Contract (http://opendocs.cookcountyil.gov/procurement/contracts/1653-15725.pdf),
1553-14379,,BLACK DOG CORPORATION,30000.00,ICE CREAM AND FROZEN DESSERTS,04/24/2017,1440.JUVENILE TEMPORARY DETENT.CNTR,04/15/2017,04/14/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1553-14379-A1.pdf),
1684-14538,,"BATTLE, BERNADINE V",0.00,CONSULTING SERVICES,04/24/2017,1040.COUNTY ASSESSOR,12/01/2016,11/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1684-14538-A1.pdf),
1484-13277,,WE TYPE TRANSCRIPTION LLC,55000.00,"AUTOPSY, MICROSCOPIC, NEUROPATHOLOGY AND RADIOLOGY REPORT TRANSCRIPTION SERVICES",04/26/2017,1259.MEDICAL EXAMINER,04/14/2017,04/13/2018,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1484-13277-A2.pdf),
1623-15293,,COOK COUNTY SUBURBAN PUBLISHERS,808385.05,STATE MANDATED PUBLICATION,04/26/2017,1040.COUNTY ASSESSOR,07/01/2017,06/30/2017,Amendment (http://opendocs.cookcountyil.gov/procurement/modifications/1623-15293-A1.pdf),
