Type of Service,Aggregation Level,State/ Territory,County,Number of Fee-for-Service Beneficiaries,Number of Providers,Average Number of Users per Provider,Percentage of Users out of FFS Beneficiaries,Average Number of Providers per County,Moratorium State/County,Number of Fee-for-Service Beneficiaries Colors - Single Color Scale,Number of Fee-for-Service Beneficiaries Colors - Dual Color Scale,Number of Fee-for-Service Beneficiaries Description,Number of Providers Colors - Single Color Scale,Number of Providers Colors - Dual Color Scale,Number of Providers Description,Average Number of Users per Provider Colors - Single Color Scale,Average Number of Users per Provider Colors - Dual Color Scale,Average Number of Users per Provider Description,Percentage of Users out of FFS Beneficiaries Colors - Single Color Scale,Percentage of Users out of FFS Beneficiaries Colors - Dual Color Scale,Percentage of Users out of FFS Beneficiaries Description,Average Number of Providers per County Colors - Single Color Scale,Average Number of Providers per County Colors - Dual Color Scale,Average Number of Providers per County Description
Ambulance,STATE,CT,--ALL--,457026,181,443.2,17.6%,51,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 493,857 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (422 - 622 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (13.7 - 18.7% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (39.2 - 84.5 Providers)
Ambulance,STATE,DC,--ALL--,67248,26,435,16.8%,26,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 84 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (422 - 622 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (13.7 - 18.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,DE,--ALL--,165040,95,250,14.4%,52.1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (84 - 150 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 255 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (13.7 - 18.7% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (39.2 - 84.5 Providers)
Ambulance,STATE,FL,--ALL--,2517667,207,1693,13.9%,30.4,No,ORANGE 5,GREEN 5,"Extreme Values (More than 1,974,285 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 5,GREEN 5,"Extreme Values (More than 1,175 Users)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (13.7 - 18.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,GA,--ALL--,1069246,220,660.4,13.6%,15.5,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (623 - 1,175 Users)",ORANGE 3,GREEN 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,HI,--ALL--,120491,4,2342.8,7.8%,3.3,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 84 Providers),ORANGE 5,GREEN 5,"Extreme Values (More than 1,175 Users)",ORANGE 1,GREEN 1,Lowest 25% (Less than 10.3% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 8.8 Providers)
Ambulance,STATE,IA,--ALL--,493431,256,186.1,9.7%,8.9,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 493,857 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (256 - 513 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 255 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.3% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (8.9 - 14.6 Providers)
Ambulance,STATE,ID,--ALL--,193060,66,265.9,9.1%,5.1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 84 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (255 - 421 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.3% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 8.8 Providers)
Ambulance,STATE,IL,--ALL--,1643973,628,354.3,13.5%,120.8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 5,GREEN 5,Extreme Values (More than 513 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (255 - 421 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 5,GREEN 5,Extreme Values (More than 84.5 Providers)
Ambulance,STATE,IN,--ALL--,898294,261,416.5,12.1%,17.1,No,ORANGE 3,GREEN 3,"Third Lowest 25% (493,858 - 933,450 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (256 - 513 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (255 - 421 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.3 - 12.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,KS,--ALL--,422039,151,307.3,11%,7.5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 493,857 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (255 - 421 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.3 - 12.6% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 8.8 Providers)
Ambulance,STATE,KY,--ALL--,645963,194,511.5,15.4%,10.4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (493,858 - 933,450 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (422 - 622 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (13.7 - 18.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (8.9 - 14.6 Providers)
Ambulance,STATE,LA,--ALL--,561366,47,1639.6,13.7%,6.1,No,ORANGE 3,GREEN 3,"Third Lowest 25% (493,858 - 933,450 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 84 Providers),ORANGE 5,GREEN 5,"Extreme Values (More than 1,175 Users)",ORANGE 3,GREEN 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 8.8 Providers)
Ambulance,STATE,MA,--ALL--,933451,331,501.6,17.8%,76.7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (256 - 513 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (422 - 622 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (13.7 - 18.7% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (39.2 - 84.5 Providers)
Ambulance,STATE,MD,--ALL--,811069,167,623.5,12.8%,29.6,No,ORANGE 3,GREEN 3,"Third Lowest 25% (493,858 - 933,450 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (623 - 1,175 Users)",ORANGE 3,GREEN 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,ME,--ALL--,239561,144,226.6,13.6%,23.6,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 493,857 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (84 - 150 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 255 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,MI,--ALL--,1334927,279,659.8,13.8%,33.5,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (256 - 513 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (623 - 1,175 Users)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (13.7 - 18.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,MN,--ALL--,423153,171,294.5,11.9%,10.2,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 493,857 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (255 - 421 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.3 - 12.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (8.9 - 14.6 Providers)
Ambulance,STATE,MO,--ALL--,835675,207,494.1,12.2%,17.4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (493,858 - 933,450 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (422 - 622 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.3 - 12.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,MS,--ALL--,493858,42,1302.2,11.1%,4.9,No,ORANGE 3,GREEN 3,"Third Lowest 25% (493,858 - 933,450 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 84 Providers),ORANGE 5,GREEN 5,"Extreme Values (More than 1,175 Users)",ORANGE 2,GREEN 2,Second Lowest 25% (10.3 - 12.6% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 8.8 Providers)
Ambulance,STATE,MT,--ALL--,166067,72,181.9,7.9%,4,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 84 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 255 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.3% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 8.8 Providers)
Ambulance,STATE,NC,--ALL--,1284736,234,780.2,14.2%,14.7,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (623 - 1,175 Users)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (13.7 - 18.7% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,ND,--ALL--,99457,77,122.6,9.5%,3.6,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 84 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 255 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.3% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 8.8 Providers)
Ambulance,STATE,NE,--ALL--,273037,177,153.1,9.9%,10.1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 493,857 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 255 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.3% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (8.9 - 14.6 Providers)
Ambulance,STATE,NH,--ALL--,241155,151,210.8,13.2%,39.1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 493,857 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 255 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,NJ,--ALL--,1238107,347,422.2,11.8%,58.6,Yes,ORANGE 4,BLUE 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 4,BLUE 4,Top 25% Excl. Extreme Values (256 - 513 Providers),ORANGE 3,BLUE 3,Third Lowest 25% (422 - 622 Users),ORANGE 2,BLUE 2,Second Lowest 25% (10.3 - 12.6% of Beneficiaries),ORANGE 4,BLUE 4,Top 25% Excl. Extreme Values (39.2 - 84.5 Providers)
Ambulance,STATE,NM,--ALL--,248706,59,406.6,9.6%,7.1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 493,857 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 84 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (255 - 421 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.3% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 8.8 Providers)
Ambulance,STATE,NV,--ALL--,295542,86,402.6,11.7%,39.5,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 493,857 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (84 - 150 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (255 - 421 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.3 - 12.6% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (39.2 - 84.5 Providers)
Ambulance,STATE,NY,--ALL--,2038270,499,536.6,13.1%,40.5,No,ORANGE 5,GREEN 5,"Extreme Values (More than 1,974,285 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (256 - 513 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (422 - 622 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (39.2 - 84.5 Providers)
Ambulance,STATE,OH,--ALL--,1310295,820,256.1,16%,39.2,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 5,GREEN 5,Extreme Values (More than 513 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (255 - 421 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (13.7 - 18.7% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (39.2 - 84.5 Providers)
Ambulance,STATE,OK,--ALL--,567764,147,468.5,12.1%,10.4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (493,858 - 933,450 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (84 - 150 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (422 - 622 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.3 - 12.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (8.9 - 14.6 Providers)
Ambulance,STATE,OR,--ALL--,422198,107,436.2,11.1%,9.9,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 493,857 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (84 - 150 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (422 - 622 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.3 - 12.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (8.9 - 14.6 Providers)
Ambulance,STATE,PA,--ALL--,1498989,824,261.4,14.4%,50.9,Yes,ORANGE 4,BLUE 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 5,BLUE 5,Extreme Values (More than 513 Providers),ORANGE 2,BLUE 2,Second Lowest 25% (255 - 421 Users),ORANGE 4,BLUE 4,Top 25% Excl. Extreme Values (13.7 - 18.7% of Beneficiaries),ORANGE 4,BLUE 4,Top 25% Excl. Extreme Values (39.2 - 84.5 Providers)
Ambulance,STATE,RI,--ALL--,122795,79,302,19.4%,46.5,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 84 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (255 - 421 Users),ORANGE 5,GREEN 5,Extreme Values (More than 18.7% of Beneficiaries),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (39.2 - 84.5 Providers)
Ambulance,STATE,SC,--ALL--,739069,151,639.2,13.1%,19.3,No,ORANGE 3,GREEN 3,"Third Lowest 25% (493,858 - 933,450 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (623 - 1,175 Users)",ORANGE 3,GREEN 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,SD,--ALL--,129651,90,137.7,9.6%,4.6,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (84 - 150 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 255 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.3% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 8.8 Providers)
Ambulance,STATE,TN,--ALL--,835875,140,806.8,13.5%,12.2,No,ORANGE 3,GREEN 3,"Third Lowest 25% (493,858 - 933,450 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (84 - 150 Providers),ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (623 - 1,175 Users)",ORANGE 3,GREEN 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (8.9 - 14.6 Providers)
Ambulance,STATE,TX,--ALL--,2529515,635,508,12.8%,44.9,Yes,ORANGE 5,BLUE 5,"Extreme Values (More than 1,974,285 Beneficiaries)",ORANGE 5,BLUE 5,Extreme Values (More than 513 Providers),ORANGE 3,BLUE 3,Third Lowest 25% (422 - 622 Users),ORANGE 3,BLUE 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 4,BLUE 4,Top 25% Excl. Extreme Values (39.2 - 84.5 Providers)
Ambulance,STATE,UT,--ALL--,220558,72,255.3,8.3%,12.3,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 84 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (255 - 421 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.3% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (8.9 - 14.6 Providers)
Ambulance,STATE,VA,--ALL--,1097101,287,500.6,13.1%,13.8,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (933,451 - 1,974,285 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (256 - 513 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (422 - 622 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (8.9 - 14.6 Providers)
Ambulance,STATE,VT,--ALL--,121376,84,197.8,13.7%,13.4,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (84 - 150 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 255 Users),ORANGE 3,GREEN 3,Third Lowest 25% (12.7 - 13.6% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (8.9 - 14.6 Providers)
Ambulance,STATE,WA,--ALL--,821476,195,496.6,11.8%,28,No,ORANGE 3,GREEN 3,"Third Lowest 25% (493,858 - 933,450 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (422 - 622 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.3 - 12.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,WI,--ALL--,679694,359,239.7,12.7%,19,No,ORANGE 3,GREEN 3,"Third Lowest 25% (493,858 - 933,450 Beneficiaries)",ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (256 - 513 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 255 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.3 - 12.6% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (14.7 - 39.1 Providers)
Ambulance,STATE,WV,--ALL--,311577,182,267.8,15.6%,11.4,No,ORANGE 2,GREEN 2,"Second Lowest 25% (239,561 - 493,857 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (151 - 255 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (255 - 421 Users),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (13.7 - 18.7% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (8.9 - 14.6 Providers)
Ambulance,STATE,WY,--ALL--,91944,30,197.1,6.4%,2.1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 239,561 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 84 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 255 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.3% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 8.8 Providers)
Ambulance,COUNTY,AK,Anchorage,31062,8,391.9,10.1%,8,No,ORANGE 5,GREEN 5,"Extreme Values (More than 23,277 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 5,GREEN 5,Extreme Values (More than 319 Users),ORANGE 2,GREEN 2,Second Lowest 25% (10.0 - 12.8% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AK,Bethel,1175,2,21,3.6%,2,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Dillingham,382,1,22,5.8%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Fairbanks North Star,9208,4,207.8,9%,4,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AK,Haines,513,0,,3.3%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Juneau,4127,3,130,9.4%,3,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AK,Kenai Peninsula,9635,7,121.4,8.8%,7,No,ORANGE 3,GREEN 3,"Third Lowest 25% (4,301 - 10,532 Beneficiaries)",ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 3,GREEN 3,Third Lowest 25% (6 - 10 Providers)
Ambulance,COUNTY,AK,Ketchikan Gateway,2102,1,107,5.1%,1,No,ORANGE 2,GREEN 2,"Second Lowest 25% (2,037 - 4,300 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 3,GREEN 3,Third Lowest 25% (91 - 160 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Kodiak Island,1371,1,80,5.8%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 2,GREEN 2,Second Lowest 25% (54 - 90 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Lake and Peninsula,153,0,,8.5%,0,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
Ambulance,COUNTY,AK,Matanuska-Susitna,11157,3,300,8.1%,3,No,ORANGE 4,GREEN 4,"Top 25% Excl. Extreme Values (10,533 - 23,277 Beneficiaries)",ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers),ORANGE 4,GREEN 4,Top 25% Excl. Extreme Values (161 - 319 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 2,GREEN 2,Second Lowest 25% (3 - 5 Providers)
Ambulance,COUNTY,AK,Nome,695,1,39,5.6%,1,No,ORANGE 1,GREEN 1,"Lowest 25% (Less than 2,037 Beneficiaries)",ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers),ORANGE 1,GREEN 1,Lowest 25% (Less than 54 Users),ORANGE 1,GREEN 1,Lowest 25% (Less than 10.0% of Beneficiaries),ORANGE 1,GREEN 1,Lowest 25% (Less than 3 Providers)
